tradingsymbol,name,instrument_token,exchange,tick_size,lot_size
GOLDSTAR-SM,GOLDSTAR POWER,257,NSE,0.05,11250
21STCENMGM,21ST CENTURY MGMT SERVICE,1025,NSE,0.01,1
AARTIIND,AARTI INDUSTRIES,1793,NSE,0.05,1
ABB,ABB INDIA,3329,NSE,0.5,1
656KA30-SG,SDL KA 6.56% 2030,3585,NSE,0.01,100
GATECHDVR,GACM TECHNOLOGIES,4353,NSE,0.01,1
66RJ30-SG,SDL RJ 6.6% 2030,4609,NSE,0.01,100
STYRENIX,STYRENIX PERFORMANCE,4865,NSE,0.1,1
66GA30A-SG,SDL GA 6.6% 2030,5121,NSE,0.01,100
664UP30-SG,SDL UP 6.64% 2030,5377,NSE,0.01,100
ACC,ACC,5633,NSE,0.1,1
67JK30-SG,SDL JK 6.7% 2030,5889,NSE,0.01,100
ADANIENT,ADANI ENTERPRISES,6401,NSE,0.1,1
67HR30-SG,SDL HR 6.7% 2030,6657,NSE,0.01,100
667MH31-SG,SDL MH 6.67% 2031,7425,NSE,0.01,100
679MP33-SG,SDL MP 6.79% 2033,8193,NSE,0.01,100
ADOR,ADOR WELDING,8705,NSE,0.1,1
677KA34-SG,SDL KA 6.77% 2034,8961,NSE,0.01,100
685AP36-SG,SDL AP 6.85% 2036,9729,NSE,0.01,100
AEGISLOG,AEGIS LOGISTICS,10241,NSE,0.05,1
687AP38-SG,SDL AP 6.87% 2038,10497,NSE,0.01,100
677WB40-SG,SDL WB 6.77% 2040,10753,NSE,0.01,100
SANWARIA-BZ,SANWARIA CONSUMER,11777,NSE,0.01,1
HAPPSTMNDS,HAPPIEST MINDS TECHNO,12289,NSE,0.05,1
663GJ29-SG,SDL GJ 6.63% 2029,16641,NSE,0.01,100
684TS40-SG,SDL TS 6.84% 2040,17409,NSE,0.01,100
665KA30-SG,SDL KA 6.65% 2030,18433,NSE,0.01,100
675KA33-SG,SDL KA 6.75% 2033,18945,NSE,0.01,100
667UK30-SG,SDL UK 6.67% 2030,19457,NSE,0.01,100
ALEMBICLTD,ALEMBIC,20225,NSE,0.01,1
67ML30-SG,SDL ML 6.7% 2030,21249,NSE,0.01,100
